
2  13 	-217	-16	-233
2  15 	-217	-16	-233
2  14 	-217	0	-217
3  16 	-89	-16	-105
4  15 	-217	0	-217
3  13 	-217	0	-217
3  15 	-217	0	-217
4  13 	-217	0	-217
1  14 	-217	0	-217
3  14 	-217	0	-217
2  16 	-89	0	-89
4  16 	-89	0	-89
5  15 	-89	-16	-105
1  15 	-89	0	-89
3  12 	-272	-13420	-13692
1  13 	-89	0	-89
7  12 	-78	-32	-110
10  13 	-98	-26860	-26958
10  11 	-98	-13400	-13498
8  12 	-78	-48	-126
9  13 	-78	0	-78
11  12 	-78	-16	-94
9  12 	-98	-13460	-13558
11  13 	-78	-48	-126
11  11 	-78	-16	-94
10  10 	-78	-48	-126
10  12 	-78	-16	-94
8  11 	-78	0	-78
8  13 	-350	-26900	-27250
9  14 	-78	0	-78
10  14 	-78	-48	-126
7  13 	-78	0	-78
11  14 	-98	-26820	-26918
9  10 	-98	-13440	-13538
7  10 	-98	-13420	-13518
6  11 	-98	-26800	-26898
7  14 	-98	-13460	-13558
6  14 	-78	-16	-94
7  15 	-78	-32	-110
